time,flux,flux_error
3.5815110633,1.0151250282,0.0080000000
3.6343407630,1.0115706481,0.0080000000
3.7000804279,0.9576473847,0.0080000000
3.7585731579,0.9296561336,0.0080000000
3.8179168670,0.8949055877,0.0080000000
3.8824386822,0.9250346324,0.0080000000
3.9304904672,0.9502709389,0.0080000000
3.9872159926,0.9935827119,0.0080000000
4.0585450869,1.0602772653,0.0080000000
4.1115509806,1.0813650519,0.0080000000
4.1627676239,1.0784833150,0.0080000000
4.2356503378,1.0561339535,0.0080000000
4.2939912310,1.0527189679,0.0080000000
4.3523833573,1.0277444552,0.0080000000
4.4011798827,1.0112443134,0.0080000000
4.4679585365,0.9830722466,0.0080000000
4.5234285676,0.9461720398,0.0080000000
4.5820570938,0.9217945483,0.0080000000
4.6332288707,0.8985589302,0.0080000000
4.6977863317,0.9151144721,0.0080000000
4.7544877131,0.9503309780,0.0080000000
4.8229613284,1.0269298235,0.0080000000
4.8760785014,1.0698165834,0.0080000000
4.9411144032,1.0743486195,0.0080000000
4.9968755139,1.0848576418,0.0080000000
5.0506175624,1.0565383598,0.0080000000
5.1172787493,1.0327281601,0.0080000000
5.1587231766,1.0255706304,0.0080000000
5.2200104937,1.0106811365,0.0080000000
5.2814019036,0.9793454416,0.0080000000
5.3441221014,0.9226660512,0.0080000000
5.3998035873,0.9023188648,0.0080000000
5.4572575322,0.9165912276,0.0080000000
5.5194079845,0.9280209808,0.0080000000
5.5777184477,0.9702920915,0.0080000000
5.6275506535,1.0420844733,0.0080000000
5.6858074302,1.0862062352,0.0080000000
5.7508495494,1.0990708960,0.0080000000
5.8076716927,1.0481460228,0.0080000000
5.8610072868,1.0469478037,0.0080000000
5.9364176045,1.0272526994,0.0080000000
5.9915505378,1.0010932513,0.0080000000
6.0540473769,0.9855015802,0.0080000000
6.0957768238,0.9488567651,0.0080000000
6.1544526465,0.9348608160,0.0080000000
6.2161752670,0.9174527297,0.0080000000
6.2894293119,0.9186599058,0.0080000000
6.3379367677,0.9522287331,0.0080000000
6.3953683849,0.9978736084,0.0080000000
6.4633204844,1.0582325605,0.0080000000
6.5239459812,1.0724358646,0.0080000000
6.5770290688,1.0721473927,0.0080000000
6.6359673611,1.0573269660,0.0080000000
6.6849815289,1.0422034613,0.0080000000
6.7530165404,1.0239848104,0.0080000000
6.8101773492,1.0094721527,0.0080000000
6.8671192180,0.9946002343,0.0080000000
6.9313736897,0.9551623052,0.0080000000
6.9845578473,0.9281460134,0.0080000000
7.0466858202,0.8753313132,0.0080000000
7.0953234986,0.9334973476,0.0080000000
7.1628935127,0.9737289953,0.0080000000
7.2292601692,1.0374201125,0.0080000000
7.2782645769,1.0659232492,0.0080000000
7.3443652116,1.0715848260,0.0080000000
7.4026318260,1.0606092079,0.0080000000
7.4539730146,1.0378086623,0.0080000000
7.5098480274,1.0339110334,0.0080000000
7.5817086673,1.0117108101,0.0080000000
7.6386886562,0.9915434705,0.0080000000
7.6829670677,0.9687938247,0.0080000000
7.7533050195,0.9277553163,0.0080000000
7.8170892465,0.8972397662,0.0080000000
7.8662616208,0.9211201617,0.0080000000
7.9246087521,0.9291902725,0.0080000000
7.9879273021,0.9964236207,0.0080000000
8.0379876509,1.0470913150,0.0080000000
8.1018688967,1.0740047887,0.0080000000
8.1583204541,1.0853276320,0.0080000000
8.2214595539,1.0610106304,0.0080000000
8.2852113270,1.0354085937,0.0080000000
8.3353763795,1.0294070871,0.0080000000
8.3896702614,0.9984373234,0.0080000000
8.4509115990,0.9841575647,0.0080000000
8.5063164787,0.9588780407,0.0080000000
8.5655197162,0.9311727818,0.0080000000
8.6400961631,0.8944974910,0.0080000000
8.6831199073,0.9175141997,0.0080000000
8.7511020171,0.9656742164,0.0080000000
8.7986362977,1.0112324938,0.0080000000
8.8572296465,1.0463507427,0.0080000000
8.9186572772,1.0844246622,0.0080000000
8.9884358378,1.0739094187,0.0080000000
9.0449184630,1.0647654060,0.0080000000
9.1081611359,1.0254283445,0.0080000000
9.1550081531,1.0123465712,0.0080000000
9.2256376632,0.9998097783,0.0080000000
9.2792301223,0.9896683603,0.0080000000
9.3428625778,0.9345435259,0.0080000000
9.3908220701,0.8975654350,0.0080000000
9.4548323326,0.9071095336,0.0080000000
9.5044206575,0.9193705734,0.0080000000
9.5621743047,0.9741472056,0.0080000000
9.6284679623,1.0172480908,0.0080000000
9.6796917804,1.0704169357,0.0080000000
9.7371759505,1.0803752060,0.0080000000
9.8097562653,1.0610619121,0.0080000000
9.8655112178,1.0337915880,0.0080000000
9.9153263595,1.0384442606,0.0080000000
9.9805962312,1.0163587215,0.0080000000
10.0349997750,1.0120231653,0.0080000000
10.1058520866,0.9673704974,0.0080000000
10.1609591522,0.9343108247,0.0080000000
10.2202244040,0.9081029043,0.0080000000
10.2726444104,0.9005784564,0.0080000000
10.3240240846,0.9434063242,0.0080000000
10.3891910980,0.9834504604,0.0080000000
10.4481755934,1.0661692453,0.0080000000
10.5180110176,1.0902873791,0.0080000000
10.5653575404,1.0856215062,0.0080000000
10.6353279952,1.0539850977,0.0080000000
10.6784318203,1.0426739637,0.0080000000
10.7422921997,1.0265728202,0.0080000000
10.8110419899,0.9987602987,0.0080000000
10.8681248730,0.9892514662,0.0080000000
10.9117986599,0.9630682947,0.0080000000
10.9819704292,0.9226897733,0.0080000000
11.0276466923,0.9121736286,0.0080000000
11.1045291718,0.9317639467,0.0080000000
11.1493728415,0.9599396308,0.0080000000
11.2205802008,1.0241424440,0.0080000000
11.2624289316,1.0690437129,0.0080000000
11.3323505126,1.0863743706,0.0080000000
11.3833139859,1.0801164499,0.0080000000
11.4507004163,1.0477647884,0.0080000000
11.5121589674,1.0359411266,0.0080000000
11.5706291229,1.0048267663,0.0080000000
11.6225636896,0.9929166209,0.0080000000
11.6810189882,0.9881694439,0.0080000000
11.7492199461,0.9435580597,0.0080000000
11.7988778452,0.9060307299,0.0080000000
11.8648146163,0.8986903868,0.0080000000
11.9226192861,0.9405730354,0.0080000000
11.9856205680,0.9999411468,0.0080000000
12.0318978284,1.0482583112,0.0080000000
12.0941133406,1.0836872787,0.0080000000
12.1605021604,1.0737181943,0.0080000000
12.2085403939,1.0738871797,0.0080000000
12.2682860996,1.0305088396,0.0080000000
12.3204548064,1.0179849451,0.0080000000
12.3947013964,0.9977420415,0.0080000000
12.4497287295,1.0006703098,0.0080000000
12.5080696966,0.9687295542,0.0080000000
12.5651084015,0.9294462957,0.0080000000
12.6253423019,0.9049446990,0.0080000000
12.6846629012,0.9118193954,0.0080000000
12.7401708084,0.9479224604,0.0080000000
12.8016136282,1.0105242384,0.0080000000
12.8483448123,1.0448940380,0.0080000000
12.9240270733,1.0886918392,0.0080000000
12.9704550853,1.0803080392,0.0080000000
13.0267689543,1.0562966883,0.0080000000
13.0873696225,1.0282939311,0.0080000000
13.1606062089,1.0124151323,0.0080000000
13.2097948811,0.9961855526,0.0080000000
13.2744701885,0.9717554927,0.0080000000
13.3317762067,0.9449997648,0.0080000000
13.3863146999,0.9217003197,0.0080000000
13.4406351907,0.9135763441,0.0080000000
13.5028994860,0.9191664584,0.0080000000
13.5705094212,0.9922105831,0.0080000000
13.6104332690,1.0081478568,0.0080000000
13.6726791611,1.0697037065,0.0080000000
13.7404112374,1.0772660488,0.0080000000
13.8041778186,1.0736599959,0.0080000000
13.8478444858,1.0640263242,0.0080000000
13.9190426020,1.0162372269,0.0080000000
13.9672077817,1.0220124389,0.0080000000
14.0404815128,0.9951186437,0.0080000000
14.0832995097,0.9752944979,0.0080000000
14.1429693723,0.9472750848,0.0080000000
14.2106870913,0.9045621339,0.0080000000
14.2693786667,0.8957751055,0.0080000000
14.3159475920,0.9301154003,0.0080000000
14.3793422921,0.9919868051,0.0080000000
14.4432714426,1.0616986065,0.0080000000
14.4925222789,1.0699656795,0.0080000000
14.5526244676,1.0773155834,0.0080000000
14.6280703786,1.0554882022,0.0080000000
14.6860266153,1.0228819984,0.0080000000
14.7271862480,1.0196162298,0.0080000000
14.8021932888,0.9991499723,0.0080000000
14.8474600209,0.9876838175,0.0080000000
14.9068802218,0.9656157701,0.0080000000
14.9717390311,0.9263572375,0.0080000000
15.0350279061,0.9090920899,0.0080000000
15.0782948397,0.9125605799,0.0080000000
15.1475200082,0.9485370224,0.0080000000
15.1983403732,1.0010227319,0.0080000000
15.2626490054,1.0729732800,0.0080000000
15.3246854193,1.0727302876,0.0080000000
15.3792533994,1.0732823722,0.0080000000
15.4426754681,1.0638927414,0.0080000000
15.5074276495,1.0567980553,0.0080000000
15.5483266759,1.0059879577,0.0080000000
15.6235012291,0.9995400377,0.0080000000
15.6654666745,0.9958297098,0.0080000000
15.7279046647,0.9455369756,0.0080000000
15.7881619856,0.9287457429,0.0080000000
15.8519876789,0.8939499574,0.0080000000
15.9194068510,0.9288687657,0.0080000000
15.9703878097,0.9822365957,0.0080000000
16.0212457309,1.0308538981,0.0080000000
16.0778580275,1.0556311727,0.0080000000
16.1487900025,1.0740496269,0.0080000000
16.2084930107,1.0692277121,0.0080000000
16.2633815334,1.0579229879,0.0080000000
16.3127096115,1.0256369256,0.0080000000
16.3721095891,1.0076978088,0.0080000000
16.4316251963,1.0030562827,0.0080000000
16.4893847984,0.9684426056,0.0080000000
16.5579288355,0.9231124127,0.0080000000
16.6178825378,0.9006728180,0.0080000000
16.6733218392,0.9088597369,0.0080000000
16.7396248195,0.9572775797,0.0080000000
16.7878976427,0.9774595557,0.0080000000
16.8420016029,1.0515405508,0.0080000000
16.9180044893,1.0743512775,0.0080000000
16.9727668056,1.0932575691,0.0080000000
17.0270504504,1.0785258584,0.0080000000
17.0835320931,1.0450984302,0.0080000000
17.1435964083,1.0027041723,0.0080000000
17.1979490636,0.9961368483,0.0080000000
17.2617325565,0.9847810624,0.0080000000
17.3138030960,0.9501904137,0.0080000000
17.3850190471,0.9191977779,0.0080000000
17.4352481036,0.9055806450,0.0080000000
17.4852168577,0.9046668533,0.0080000000
17.5620390577,0.9666552202,0.0080000000
17.6215912961,1.0222994635,0.0080000000
17.6618424875,1.0594475853,0.0080000000
17.7269974112,1.0764714621,0.0080000000
17.7810887317,1.0724226284,0.0080000000
17.8417144924,1.0545203192,0.0080000000
17.9097930331,1.0382417613,0.0080000000
17.9591945273,1.0247064898,0.0080000000
18.0168871937,1.0127378836,0.0080000000
18.0813352142,0.9855864494,0.0080000000
18.1366445848,0.9464673332,0.0080000000
18.2012700141,0.9105493472,0.0080000000
18.2536390460,0.9142109223,0.0080000000
18.3084651980,0.9437673884,0.0080000000
18.3777553043,0.9912614155,0.0080000000
18.4308803285,1.0295198571,0.0080000000
18.4875972905,1.0771145332,0.0080000000
18.5429018741,1.0875037351,0.0080000000
18.6084863665,1.0608658628,0.0080000000
18.6637788336,1.0547273080,0.0080000000
18.7237606713,1.0254439741,0.0080000000
18.7777868249,1.0067911076,0.0080000000
18.8402266303,1.0114847105,0.0080000000
18.9019090470,0.9633070795,0.0080000000
18.9703225787,0.9159958179,0.0080000000
19.0267564074,0.9139009147,0.0080000000
19.0833544405,0.9155839756,0.0080000000
19.1400245449,0.9437805003,0.0080000000
19.1920190527,0.9873046834,0.0080000000
19.2622131311,1.0658211663,0.0080000000
19.3210893455,1.0901772794,0.0080000000
19.3737900456,1.0845695547,0.0080000000
19.4422498649,1.0605590968,0.0080000000
19.4998440513,1.0198791243,0.0080000000
19.5566736990,1.0127599950,0.0080000000
19.6159990361,1.0073447420,0.0080000000
19.6659871561,0.9866711235,0.0080000000
19.7334457141,0.9576806674,0.0080000000
19.7866307028,0.9294615137,0.0080000000
19.8452797118,0.9122959897,0.0080000000
19.8968823403,0.9128474896,0.0080000000
19.9540746680,0.9563718569,0.0080000000
20.0189574771,1.0323808571,0.0080000000
20.0733283980,1.0613432150,0.0080000000
20.1314914226,1.0895376804,0.0080000000
20.2004674129,1.0718463806,0.0080000000
20.2448302924,1.0549714206,0.0080000000
20.3077427701,1.0305513657,0.0080000000
20.3774740725,1.0097089491,0.0080000000
20.4298220486,0.9984904530,0.0080000000
20.4860461739,0.9693332401,0.0080000000
20.5491169406,0.9238625866,0.0080000000
20.6150022736,0.9155380209,0.0080000000
20.6686290935,0.8985847116,0.0080000000
20.7168273093,0.9380002918,0.0080000000
20.7763919374,0.9888432025,0.0080000000
20.8505728755,1.0553953192,0.0080000000
20.8919392448,1.0742311225,0.0080000000
20.9661240362,1.0885275741,0.0080000000
21.0259201009,1.0550128808,0.0080000000
21.0705424928,1.0375010774,0.0080000000
21.1383514885,1.0173200418,0.0080000000
21.1956870498,1.0104065006,0.0080000000
21.2603962849,0.9778378325,0.0080000000
21.3027753112,0.9607214161,0.0080000000
21.3731525188,0.9123844011,0.0080000000
21.4379508401,0.8967794046,0.0080000000
21.4889384995,0.9050892198,0.0080000000
21.5498543696,0.9547023864,0.0080000000
21.6035943832,1.0086927167,0.0080000000
21.6550542918,1.0574411387,0.0080000000
21.7127435780,1.0947183288,0.0080000000
21.7794353731,1.0769657737,0.0080000000
21.8349855027,1.0648517677,0.0080000000
21.8973694154,1.0237582352,0.0080000000
21.9526986652,1.0174133487,0.0080000000
22.0122510001,1.0052611279,0.0080000000
22.0792850584,0.9667028742,0.0080000000
22.1272016500,0.9689323553,0.0080000000
22.1846726240,0.9150552359,0.0080000000
22.2430748270,0.9013034419,0.0080000000
22.3175099531,0.9290830096,0.0080000000
22.3776531147,0.9914933589,0.0080000000
22.4265206151,1.0280910589,0.0080000000
22.4849009670,1.0614063354,0.0080000000
22.5468529154,1.0833319766,0.0080000000
22.5979389901,1.0825265487,0.0080000000
22.6591539874,1.0556732556,0.0080000000
22.7147719060,1.0292457646,0.0080000000
22.7758142437,1.0128814187,0.0080000000
22.8345909626,1.0038468963,0.0080000000
22.8999352317,0.9556377161,0.0080000000
22.9518024347,0.9430767900,0.0080000000
23.0184617666,0.9091125049,0.0080000000
23.0718997464,0.9116611267,0.0080000000
23.1228068235,0.9394540247,0.0080000000
23.1927426401,0.9946658519,0.0080000000
23.2417346889,1.0419607698,0.0080000000
23.3097153138,1.0858186696,0.0080000000
23.3626948108,1.0733116608,0.0080000000
23.4174435926,1.0445972244,0.0080000000
23.4927153860,1.0260664811,0.0080000000
23.5478338107,1.0215912022,0.0080000000
23.5987847963,1.0026604409,0.0080000000
23.6498719988,0.9927251052,0.0080000000
23.7182591779,0.9627435424,0.0080000000
23.7793470336,0.9214873422,0.0080000000
23.8365624387,0.9217420128,0.0080000000
23.8989911137,0.9207932532,0.0080000000
23.9490820876,0.9479314243,0.0080000000
24.0127644019,1.0267510397,0.0080000000
24.0715312106,1.0826062706,0.0080000000
24.1232142098,1.0841704675,0.0080000000
24.1884403592,1.0753976349,0.0080000000
24.2414341570,1.0459926640,0.0080000000
24.3134911027,1.0135773593,0.0080000000
24.3573110185,1.0257849494,0.0080000000
24.4233201792,1.0072534846,0.0080000000
24.4838620963,0.9718472295,0.0080000000
24.5465503752,0.9290315065,0.0080000000
24.6034820313,0.9027882022,0.0080000000
24.6518799765,0.9104632830,0.0080000000
24.7185904429,0.9388485745,0.0080000000
24.7720970127,0.9819167066,0.0080000000
24.8316586201,1.0224502752,0.0080000000
24.9011538460,1.0805703625,0.0080000000
24.9436548812,1.0894613365,0.0080000000
25.0080742503,1.0671072909,0.0080000000
25.0674753847,1.0324186141,0.0080000000
25.1297602724,1.0302645452,0.0080000000
25.1764458084,1.0012912465,0.0080000000
25.2508097811,0.9878575044,0.0080000000
25.3098749608,0.9673679435,0.0080000000
25.3643170175,0.9423376664,0.0080000000
25.4269844171,0.9025868838,0.0080000000
25.4833255285,0.9078188119,0.0080000000
25.5441874843,0.9397555875,0.0080000000
25.5983449120,0.9979148251,0.0080000000
25.6589841331,1.0569866228,0.0080000000
25.7227986165,1.0748911308,0.0080000000
25.7646232644,1.0845623246,0.0080000000
25.8229119566,1.0625768856,0.0080000000
25.8885807111,1.0339889009,0.0080000000
25.9571179365,1.0236421352,0.0080000000
26.0056268909,1.0181933019,0.0080000000
26.0637390513,0.9949680868,0.0080000000
26.1239575824,0.9602896512,0.0080000000
26.1822144770,0.9179957439,0.0080000000
26.2397196420,0.9124445238,0.0080000000
26.2986266560,0.9198881586,0.0080000000
26.3602235415,0.9670239916,0.0080000000
26.4102662815,1.0109899360,0.0080000000
26.4756477359,1.0697374438,0.0080000000
26.5429767238,1.0850274960,0.0080000000
26.6035521288,1.0752957351,0.0080000000
26.6532779395,1.0516528900,0.0080000000
26.7177696552,1.0402722429,0.0080000000
26.7784232232,1.0032321882,0.0080000000
26.8357368987,1.0047582061,0.0080000000
26.8842286272,0.9803982040,0.0080000000
26.9499035942,0.9293009993,0.0080000000
27.0131186836,0.9010707449,0.0080000000
27.0726849909,0.9141985946,0.0080000000
27.1228771080,0.9286806304,0.0080000000
27.1867728446,0.9954289507,0.0080000000
27.2375452260,1.0358696572,0.0080000000
27.3081189304,1.0947008384,0.0080000000
27.3496218262,1.0946945267,0.0080000000
27.4254199245,1.0729461224,0.0080000000
27.4814212269,1.0443660549,0.0080000000
27.5284452129,1.0261907884,0.0080000000
27.5959448870,1.0181332320,0.0080000000
27.6467142405,0.9867552913,0.0080000000
27.7107845624,0.9550513992,0.0080000000
27.7599099739,0.9239792315,0.0080000000
27.8203468810,0.9145684852,0.0080000000
27.8951026191,0.9255884123,0.0080000000
27.9498659269,0.9628085078,0.0080000000
27.9987197790,1.0071812050,0.0080000000
28.0674093049,1.0603536000,0.0080000000
28.1144267388,1.0826262230,0.0080000000
28.1782725273,1.0848885533,0.0080000000
28.2408771042,1.0592686440,0.0080000000
28.2995328579,1.0220600755,0.0080000000
28.3608019502,1.0224850183,0.0080000000
28.4052902767,1.0106306685,0.0080000000
28.4746727856,0.9765723436,0.0080000000
28.5396477933,0.9435199616,0.0080000000
28.5895856264,0.9246964184,0.0080000000
28.6463785767,0.8933136394,0.0080000000
28.7053664954,0.9247274915,0.0080000000
28.7741840196,0.9752065031,0.0080000000
28.8229518080,1.0424115466,0.0080000000
28.8840434112,1.0822481196,0.0080000000
28.9372490780,1.0963798435,0.0080000000
28.9927581474,1.0857046077,0.0080000000
29.0622238832,1.0452482898,0.0080000000
29.1248918599,1.0336768955,0.0080000000
29.1685032696,1.0248139532,0.0080000000
29.2450209902,0.9883620912,0.0080000000
29.3019155843,0.9673851089,0.0080000000
29.3562310758,0.9331134845,0.0080000000
29.4030386091,0.9107599849,0.0080000000
29.4780655316,0.9083940019,0.0080000000
29.5352468934,0.9352735759,0.0080000000
29.5982436622,0.9981132454,0.0080000000
29.6451736947,1.0434447567,0.0080000000
29.7034867560,1.0732607036,0.0080000000
29.7586112526,1.0932179443,0.0080000000
29.8330334863,1.0612485192,0.0080000000
29.8875524489,1.0326489019,0.0080000000
29.9398986844,1.0271089553,0.0080000000
30.0000000000,1.0221169517,0.0080000000
